NOT A HEADER,TEXT,COUNT,CHECKED TABLE,
,\Drugs that may increase\serum TBG concentration,8,,
,\Drugs that may increase serum TBG concentration,1,,
,\Drugs that may increase serum TBG concentration,6,,
,"\Drugs that may increase hepatic metabolism, whichmay resultin hypothyroidism\",1,,
,"\Drugs that may increase hepatic metabolism, which may result in hypothyroidism\",31,,
,\Drugs that may increase serum TBG concentration,16,,
,\Drugs that may increase serum TBG concentration\,1,,
,"\Drugs that may increase thyroid hormone secretion, which\may result in hyperthyroidism\",8,,
,"\Drugs that may increase thyroid hormone secretion, which \may result in hyperthyroidism\",23,,
,"\Drugs that may increase thyroid hormone secretion, which may result in hyperthyroidism\",1,,
,"\Drugs that may reduce TSH secretion - the reduction is not sustained; therefore, hypothyroidism does not occur\",48,,
,"\Drugs that may reduce TSH secretion –the reduction is not sustained; therefore, hypothyroidism does not occur\",1,,
,"\Drugs that may reduce TSH secretion–the reduction is not sustained; therefore, hypothyroidism does not occur\",3,,
,\Enzyme\,2,,
,\Factors\,2,,
,\Factors ,2,,
no,\Grapefruit juice  \,1,,
,\Interacting Agents\,53,,
,\Interacting Agents \,2,,
,\Interacting Drug\,21,,
,\Interacting Drug \,3,,
,\Interacting DrugInteracting Drug\,1,,
,\Interacting \Drug,1,,
,\Interacting \Drug ,3,,
,\Interacting Drug ,1,,
,\Interaction\,1,,
,\Known CYP2D6 Poor Metabolizers\,2,,
,\Known CYP2D6 Poor Metabolizers and strong CYP3A4 inhibitors\,2,,
no,\Lomitapide\,1,,
,\Miscellaneous\,30,,
,"\Strong CYP3A4 inhibitors (e.g., itraconazole, ketoconazole, posaconazole, voriconazole, erythromycin, clarithromycin, telithromycin, HIV protease inhibitors,boceprevir, telaprevir, nefazodone), gemfibrozil, cyclosporine, danazol\",1,,
no,\Table 2: Drug — Thyroidal Axis Interactions\,1,,
no,\Table 2: Drug-Thyroidal Axis Interactions\,1,,
no,"\Table III. Clinically\significant drug interactions with\theophylline.\Refer to PRECAUTIONS, Drug Interactions for\further information regarding table.\",1,,
no,"\Table IV. Drugs that have\been documented not to interact with theophylline\or drugs that produce no clinically significant\interaction with theophylline.\Refer to PRECAUTIONS, Drug Interactions for\information regarding table.\",1,,
no,"\Verapamil, diltiazem, dronedarone \",1,,
,\Clinical Implications \,1,,
no,\* The interaction between nevirapine and the drug was evaluated in a clinical study. All other drug interactions shown are predicted.\,1,,
,\Analgesics:\Methadone* \,1,,
no,"\Antacids, Sucralfate, Multivitamins and Other Products Containing Multivalent Cations (magnesium/aluminum antacids; polymeric phosphate binders (for example, sevelamer, lanthanum carbonate); sucralfate; Videx® (didanosine) chewable/buffered tablets or pediatric powder; other highly buffered drugs; or products containing calcium, iron, or zinc and dairy products)\",1,yes,
,\Anti-coagulant drugs\,1,,
,"\Antiarrhythmics:\Amiodarone, disopyramide, lidocaine \",1,,
,\Antibiotics\,1,,
,\Antibiotics:\Clarithromycin*\,1,,
,\Antiretroviral agents\,1,,
,\Beta-Blockers ,2,,
,\Caffeine/Xanthine Derivatives\,1,,
no,\CiprofloxacinMycophenolate mofetil,1,,
,\Clinical Impact:,2,,
,\Clinical Impact:\,3,,
no,\Clozapine\,1,,
,\Concomitant Drug\,2,,
,\Concomitant Drug Class:Drug Name\,1,,
,\Concomitant Drug Name or Drug Class\,1,,
,\Cyclosporine\,1,yes- TABLE-1eaa7790-f1a1-4f51-b10a-cbbaf033f684-drugInteractions-0.txt,
no,\DigoxinEnalaprilIronMetoprololWarfarin\,1,,
,\Drug Name,1,,
,\Drug Name\,2,,
,\Drug Name ,1,,
,\Drug or \Drug Class\,1,,
,\Drug or Drug Class\,1,,
,\Drug(s),4,,
,\Drug(s)\,6,,
,\Drug(s) \,4,,
,"\Drug(s) Affecting Pharmacokinetics of Ciprofloxacin Tablets, USP\",4,,
,"\Drug(s) with Pharmacokinetics Affected by KETEK(Mechanism of interaction, if known)\",1,,
,\Drugs Known to Prolong QT Interval\,1,,
,\Drugs That are Affected by CIPRO IV\,1,,
,\Drugs That are Affected by Ciprofloxacin\,5,,
,\Drugs That are Affected by Ciprofloxacin ,4,,
,"\Drugs That are Affected by Ciprofloxacin Tablets, USP\",4,,
,\Drugs That Are Affected By KETEK\,1,,
,\Drugs That Interfere with Hemostasis\,1,,
,\Drugs That May Increase the Risk of Hypoglycemia\,2,,
,\Drugs:\,2,,
no,\Duloxetine\,1,,
,\Hepatitis C Antiviral Agents,1,,
,\Hepatitis C Antiviral Agents  \,1,,
,\HIV Antiviral Agents: Non-Nucleoside Reverse Transcriptase Inhibitors (NNRTIs),2,,
,\HIV Antiviral Agents: Protease Inhibitors (PIs),2,,
,\HIV-1-Antiviral Agents: Nucleoside Reverse Transcriptase Inhibitors (NRTIs)\,1,,
no,\I.Due to the competition of salicylate with other drugs for binding to serum albumin the following drug interactions may occur:,5,,
,\Interacting \Agents ,1,,
,\Methotrexate\,1,yes- TABLE-1eaa7790-f1a1-4f51-b10a-cbbaf033f684-drugInteractions-0.txt,
,\NSAIDs\,1,,
,\OATP1B1 and BCRP Substrate\,1,yes,
,\OATP1B1 Inhibitors\,1,,
,\Oral antidiabetic drugs\,1,,
,\Oral drugs for which sevelamer did not alter the pharmacokinetics when administered concomitantly\,2,,
,\Oral drugs thathave demonstrated interaction with sevelamer and are to be dosed separately from Renvela\,1,,
,\Oral drugs that have demonstrated interaction with sevelamer and are to be dosed separately from Renvela\,1,,
,\Oral drugs that have to be separated from Auryxia and meals\,1,,
,\Oral drugs that have to be separated from Phoslyra\,1,,
,\Other Agents,1,,
no,\Phenytoin\,1,,
no,\Probenecid\,1,,
no,\Ropinirole\,1,,
no,\Sildenafil\,1,,
no,\Table 1: Oral drugs that can be administered concomitantly with Auryxia\,1,,
no,\Table 2: Drug-Thyroidal Axis Interactions\,2,,
no,\Table 4 Drugs Tested in Binding or Drug Interaction Testing or With Post-Marketing Reports\In Vitro\In Vivo,1,,
no,\Table 4 Drugs Tested in In Vitro Binding or In Vivo Drug Interaction Testing or With Post-Marketing Reports\,3,,
no,\Theophylline\,1,,
no,\Tizanidine \,1,,
no,,847,,
,AEDCo-administered,1,,
, Coadministered Drug,3,,
, Drug,5,,
," Drug Interactions Associated with Increased Risk of Myopathy/Rhabdomyolysis (2.6, 5.1, 7, 12.3)",3,,
, Interacting Agents ,5,,
, Mean Cmax\,2,,
no,* The interaction between nevirapine and the drug was evaluated in a clinical study. All other drug interactions shown are predicted.\,1,yes,
no,? levonorgestrel,2,,
no,Adenosine,1,,
,AED Co-administered,7,,
,AED Coadministered,4,,
,AED Coadministered \,2,,
no,"albuterol, systemic and\inhaled",1,yes,
no,"albuterol,    systemic and inhaled ",1,yes,
,Alcohol,1,,
,Alpha-Blocker,16,,
no,AminoglutethimideAmiodaroneIodide (including iodine-containing Radiographic contrast agents)LithiumMethimazolePropylthioracil (PTU)SulfonamidesTolbutamide,1,,
no,AminoglutethimideAmiodaroneIodide (including iodine-containing Radiographic contrast agents)LithiumMethimazolePropylthioracil (PTU)SulfonamidesTolbutamide,6,,
no,Aminoglutethimide Amiodarone Iodide (including iodine-containing Radiographic contrast agents) Lithium Methimazole Propylthioracil (PTU) Sulfonamides Tolbutamide,8,,
no,AminoglutethimideAmiodaroneIodide (including iodine-containingRadiographic contrast agents)LithiumMethimazolePropylthiouracil (PTU)SulfonamidesTolbutamide,1,,
no,AminoglutethimideAmiodaroneIodide (including iodine-containing Radiographic contrast agents)LithiumMethimazolePropylthioracil (PTU)SulfonamidesTolbutamide,16,,
no,"AmiodaroneBeta-adrenergic antagonists- (e.g., Propranolol > 160 mg/day)Glucocorticoids-(e.g., Dexamethasone ? 4 mg/day)Propylthiouracil (PTU)",1,yes,
no,AmiodaroneIodide (including iodine-containing Radiographic contrast agents),1,,
no,"AmiodaroneBeta-adrenergic antagonists- (e.g., Propranolol > 160 mg/day)Glucocorticoids-(e.g., Dexamethasone ? 4 mg/day)Propylthiouracil (PTU)",6,,
no,AmiodaroneIodide (including iodine-containing Radiographic contrast agents),6,,
no,"Amiodarone Beta-adrenergic antagonists - (e.g., Propranolol > 160 mg/day) Glucocorticoids -(e.g., Dexamethasone ? 4 mg/day) Propylthiouracil (PTU)",8,,
no,Amiodarone Iodide (including iodine-containing Radiographic contrast agents),8,,
no,"Amiodarone, amlodipine, ranolazine",1,,
no,"AmiodaroneBeta-adrenergic antagonists- (e.g., Propranolol > 160 mg/day)Glucocorticoids- (e.g., Dexamethasone ? 4 mg/day)Propylthiouracil (PTU)",1,,
no,"AmiodaroneBeta-adrenergic antagonists- (e.g., Propranolol > 160 mg/day)Glucocorticoids-(e.g., Dexamethasone ? 4 mg/day)Propylthiouracil (PTU)",16,,
no,AmiodaroneIodide (including iodine-containingRadiographic contrast agents),1,,
no,AmiodaroneIodide (including iodine-containing Radiographic contrast agents),16,,
no,"Amlodipine\									Aspirin\									Atorvastatin\									Calcitriol\									Clopidogrel\									Digoxin\									Diltiazem\									Doxercalciferol\									Enalapril\									Fluvastatin\									Glimepiride\									Levofloxacin\									Losartan\									Metoprolol\									Pravastatin\									Propranolol\									Sitagliptin\									Warfarin\",1,,
no,"Antacids, Sucralfate, Multivitamins and Other Products Containing Multivalent Cations (magnesium/aluminum antacids; polymeric phosphate binders (for example, sevelamer, lanthanum carbonate); sucralfate; Videx® (didanosine) chewable/buffered tablets or pediatric powder; other highly buffered drugs; or products containing calcium, iron, or zinc and dairy products) ",1,,
no,"Antacids, Sucralfate, Multivitamins and Other Products Containing Multivalent Cations (magnesium/aluminum antacids; polymeric phosphate binders (for example, sevelamer, lanthanum carbonate); sucralfate; Videx® (didanosine) chewable/buffered tablets or pediatric powder; other highly buffered drugs; or products containing calcium, iron, or zinc and dairy products)",1,,
no,"Antacids, Sucralfate, Multivitamins and Other Products Containing Multivalent Cations (magnesium/aluminum antacids; polymeric phosphate binders (for example, sevelamer, lanthanum carbonate); sucralfate; Videx® (didanosine) chewable/buffered tablets or pediatric powder; other highly buffered drugs; or products containing calcium, iron, or zinc and dairy products) \",2,,
no,Antacids- Aluminum & Magnesium Hydroxides- SimethiconeBile Acid Sequestrants- Cholestyramine- ColestipolCalcium CarbonateCation Exchange Resins- KayexalateFerrous SulfateOrlistatSucralfate,3,yes,
,Anti-coagulant drugs,4,,
,Anticoagulants,16,,
,Anticoagulants (oral)- Coumarin Derivatives- Indandione Derivatives,1,,
,Anticoagulants (oral)- Coumarin Derivatives- Indandione Derivatives,6,,
,Anticoagulants (oral) - Coumarin Derivatives - Indandione Derivatives,8,,
,Anticoagulants (oral)- Coumarin Derivatives- Indandione Derivatives,17,,
no,"Anticonvulsants:Carbamazepine,clonazepam, ethosuximide\",1,,
no,"Antidepressants- Tricyclics (e.g., Amitriptyline)- Tetracyclics (e.g., Maprotiline)- Selective Serotonin Reuptake Inhibitors (SSRIs; e.g., Sertraline)",1,yes,
no,"Antidepressants- Tricyclics (e.g., Amitriptyline)- Tetracyclics (e.g., Maprotiline)- Selective Serotonin Reuptake Inhibitors (SSRIs; e.g., Sertraline)",6,,
no,"Antidepressants - Tricyclics (e.g., Amitriptyline) - Tetracyclics (e.g., Maprotiline) - Selective Serotonin Reuptake Inhibitors (SSRIs; e.g., Sertraline)",8,,
no,"Antidepressants- Tricyclics (e.g., Amitriptyline)- Tetracyclics (e.g., Maprotiline)- Selective Serotonin Reuptake Inhibitors (SSRIs; e.g., Sertraline)",17,,
no,Antidiabetic Agents- Biguanides- Meglitinides- Sulfonylureas- Thiazolidediones- Insulin,1,,
no,Antidiabetic Agents- Biguanides- Meglitinides- Sulfonylureas- Thiazolidediones- Insulin,6,,
no,Antidiabetic Agents - Biguanides - Meglitinides - Sulfonylureas - Thiazolidediones - Insulin,8,,
no,Antidiabetic Agents- Biguanides- Meglitinides- Sulfonylureas- Thiazolidediones- Insulin,16,,
no,Antidiabetic Agents- Biguanides- Meglitinides- Sulfonylureas- Thiazolidinediones- Insulin,1,,
no,Antifungals: Fluconazole*\,1,yes,
no,Antithrombotics: Warfarin\,1,yes,
no,Atazanavir/ Ritonavir*\,1,,
no,Atazanavir/ritonavir,1,yes,
no,Atazanavir/Ritonavir*\,1,,
,blood dyscrasias - see cancer collagen vascular disease congestive heart failureCONTRAINDICATIONS,1,yes,
,blood dyscrasias - seeCONTRAINDICATIONS\cancercollagen vascular diseasecongestive heart failure,3,,
,blood dyscrasias -  see CONTRAINDICATIONS\cancercollagen vascular diseasecongestive heart failure,1,,
no,Boceprevir \,1,yes,
no,Boceprevir   \,1,yes,
,Caffeine/Xanthine Derivatives,4,,
no,"Calcitriol\										Ciprofloxacin\										Digoxin\										Enalapril\										Furosemide\										HMG-CoA reductase inhibitors\										Hydrochlorothiazide\										Losartan\										Metoprolol\										Nifedipine\										Omeprazole\										Quinidine\										Warfarin\",1,,
no,"Calcium channel blockers: Diltiazem, nifedipine, verapamil\",1,yes,
no,Cancer chemotherapy:Cyclophosphamide\,1,yes,"*a lot are in the far left hand column where a header would be, however this specific group is interacting with the main drug from the table, falls under a different header that spands across the whole table.  This can be seen so far witht the major of ""no's"" so far"
no,CarbamazepineHydantoinsPhenobarbitalRifampin,1,,
no,CarbamazepineHydantoinsPhenobarbitalRifampin,6,,
no,Carbamazepine \,1,,
no,Carbamazepine,1,,
no,Carbamazepine Hydantoins Phenobarbital Rifampin,8,,
no,Carbamazepineand carbamazepine epoxide \,1,,
no,CarbamazepineHydantoinsPhenobarbitalRifampin,17,,
no,Carbamazepine ,2,,
no,Carbamazepine ,2,,
no,Carbamazepine ,1,,
no,Carbamazepine ,1,,
,Cardiac Glycosides,32,,
no,Chloral HydrateDiazepamEthionamideLovastatinMetoclopramide6-MercaptopurineNitroprussidePara-aminosalicylate sodiumPerphenazineResorcinol (excessive topical use)Thiazide Diuretics,1,,
no,Chloral HydrateDiazepamEthionamideLovastatinMetoclopramide6-MercaptopurineNitroprussidePara-aminosalicylate sodiumPerphenazineResorcinol (excessive topical use)Thiazide Diuretics,6,,
no,Chloral Hydrate Diazepam Ethionamide Lovastatin Metoclopramide 6-Mercaptopurine Nitroprusside Para-aminosalicylate sodium Perphenazine Resorcinol (excessive topical use) Thiazide Diuretics,8,,
no,Chloral HydrateDiazepamEthionamideLovastatinMetoclopramide6-MercaptopurineNitroprussidePara-aminosalicylate sodiumPerphenazineResorcinol (excessive topical use)Thiazide Diuretics,17,,
no,Cimetidine ,2,,
no,Cimetidine ,1,,
no,Cimetidine \,3,,
,Classes of Drugs,10,,
no,ClofibrateEstrogen-containing oral contraceptivesEstrogens (oral)Heroin / Methadone5-FluorouracilMitotaneTamoxifen,1,,
no,ClofibrateEstrogen-containing oral contraceptivesEstrogens (oral)Heroin / Methadone5-FluorouracilMitotaneTamoxifen,6,,
no,Clofibrate Estrogen-containing oral contraceptives Estrogens (oral) Heroin / Methadone 5-Fluorouracil Mitotane Tamoxifen,8,,
no,ClofibrateEstrogen-containing oral contraceptivesEstrogens (oral)Heroin / Methadone5-FluorouracilMitotaneTamoxifen,17,,
no,Clozapine,4,,
,Co-administered Drug,12,,
,Co-administered Drug ,3,,
,Coadministered Drug   ,2,,
,Coadministered Drug,2,,
,Coadministered Drug,2,,
,Coadministered Drug,1,,
,Coadministered Drug,1,,
,Coadministered Drug\,1,,
,Concomitant Drug,13,,
,Concomitant Drug Class or Food,2,,
,Concomitant Drug Class: Drug Name,4,,
,Concomitant Drug Class:Drug Name,4,,
,Concomitant Drug Name or Drug Class,1,,
,Concomitant Drug \,1,,
,Concomitant Drug,2,,
,Corticosteroids ,1,,
,Cyclosporine,4,yes- TABLE-1eaa7790-f1a1-4f51-b10a-cbbaf033f684-drugInteractions-0.txt,
no,CYP1A2,16,yes,
no,CYP2C9,16,yes,
no,Cytokines- Interferon-?- Interleukin-2,1,yes,
no,Cytokines- Interferon-?- Interleukin-2,6,yes,
no,Cytokines - Interferon-? - Interleukin-2,8,yes,
no,Cytokines- Interferon-?- Interleukin-2,17,yes,
no,Delavirdine Etravirine Rilpivirine  \,1,,
no,didanosine,1,,
no,DigoxinEnalapril Iron Metoprolol Warfarin,1,,
no,DigoxinEnalaprilIronMetoprololWarfarin,1,,
no,Dopamine / Dopamine AgonistsGlucocorticoidsOctreotide,1,,
no,Dopamine/Dopamine AgonistsGlucocorticoidsOctreotide,1,,
no,Dopamine/Dopamine AgonistsGlucocorticoidsOctreotide,6,,
no,Dopamine/Dopamine Agonists Glucocorticoids Octreotide,8,,
no,Dopamine/Dopamine AgonistsGlucocorticoidsOctreotide,16,,
,Drug,18,,
,Drug Class: Drug Name,8,,
no,"Drug Interactions Associated with Increased Risk of Myopathy/Rhabdomyolysis (2.6, 5.1, 7, 12.3)",1,,
no,"Drug Interactions Associated with Increased Risk of Myopathy/Rhabdomyolysis ( , , , )\2.6\5.1\7\12.3\",2,,
no,"Drug Interactions Associated with Increased Risk of Myopathy/Rhabdomyolysis (2.6, 5.1, 7, 12.3)",12,,
,Drug Name,5,,
,Drug Name  \,2,,
,Drug or Drug Class,3,,
,Drug/Drug Class(Mechanism ofInteraction by the Drug),2,,
,Drug/Drug Class(Mechanism ofInteraction by Voriconazole),2,,
,Drug/Drug Class(Mechanism of Interaction by the Drug),4,,
,Drug/Drug Class(Mechanism of Interaction by Voriconazole),4,,
,Drugs Known to Prolong QT Interval,4,,
,"Drugs known to prolong QT interval (e.g., Class IA and Class III anti-arrhythmic agents).",2,,
,Drugs with a known interaction with colesevelam: Decrease in exposure of coadministered drug,1,,
,Drugs with a known interaction with colesevelam:Decrease in exposure of coadministered drug,1,,
no,Duloxetine,4,,
?,edema hereditary coumarin resistance hyperlipemia,1,"only a two column table, nothing else",
?,edemahereditary coumarin resistancehyperlipemia,4,"only a two column table, nothing else",
no,Efavirenz* \,1,yes,
no,Efavirenz*  DelavirdineEtravirineRilpivirine,1,yes,
,Enzyme (CYP2D6) Inhibitors,1,,
,Enzyme (CYP2D6)Inhibitors,2,,
,Enzyme (CYP2D6) Inhibitors,1,,
,Enzyme (CYP2D6)Inhibitors,2,,
,Enzyme (CYP2D6)Inhibitors,1,,
,Enzyme (CYP2D6) Inhibitors \,1,,
,Enzyme (CYP3A)Inhibitors,2,,
,Enzyme (CYP3A) Inhibitors,1,,
,Enzyme (CYP3A)Inhibitors,2,,
,Enzyme (CYP3A)Inhibitors,1,,
,Enzyme (CYP3A/ PgP inducers) Inducers,2,,
,Enzyme (CYP3A/ PgP inducers) Inducers,1,,
,Enzyme (CYP3A/ PgP inducers) Inducers\,3,,
no,Ergot alkaloids: Ergotamine\,1,yes,
no,Erythromycin ,2,,
no,Erythromycin ,2,,
no,Erythromycin ,1,,
no,Erythromycin ,1,,
no,Estrogen-containing oral contraceptive preparations containing 30 mcg ethinylestradiol and 150 mcg levonorgestrel,2,,
no,Estrogen-containing oral contraceptivepreparation containing30 mcg ethinylestradioland 150 mcglevonorgestrel,2,,
no,Estrogen-containing oralcontraceptive preparations containing 30 mcg ethinylestradiol and 150 mcg levonorgestrel,1,,
no,Fluoxetine,2,,
no,Fluoxetine,2,,
no,Fluoxetine,1,,
no,Fluoxetine,1,,
no,Fluoxetine,1,,
no,Fluoxetine \,1,,
no,Fosamprenavir*    Fosamprenavir/Ritonavir*  \,1,,
no,Fosamprenavir* \,1,,
no,Fosamprenavir/ Ritonavir*\,1,,
no,Furosemide ( > 80 mg IV)HeparinHydantoinsNon Steroidal Anti-lnflammatory Drugs- Fenamates- PhenylbutazoneSalicylates ( > 2 g/day),1,,
no,Furosemide ( > 80 mg IV)HeparinHydantoinsNon Steroidal Anti-lnflammatory Drugs- Fenamates- PhenylbutazoneSalicylates ( > 2 g/day),6,,
no,Furosemide ( > 80 mg IV) Heparin Hydantoins Non Steroidal Anti-lnflammatory Drugs - Fenamates - Phenylbutazone Salicylates ( > 2 g/day),8,,
no,Furosemide ( > 80 mg IV)HeparinHydantoinsNon Steroidal Anti-Inflammatory Drugs- Fenamates- PhenylbutazoneSalicylates ( > 2 g/day),1,,
no,Furosemide ( > 80 mg IV)HeparinHydantoinsNon Steroidal Anti-lnflammatory Drugs- Fenamates- PhenylbutazoneSalicylates ( > 2 g/day),16,,
no,Grapefruit juice ,1,,
no,Growth Hormones- Somatrem- Somatropin,1,yes,
no,Growth Hormones- Somatrem- Somatropin,6,yes,
no,Growth Hormones - Somatrem - Somatropin,8,yes,
no,Growth Hormones- Somatrem- Somatropin,17,yes,
no,Heparin,1,yes,
no,I. Due to the competition of salicylate with other drugs for binding to serum albumin the following drug interactions may occur:\,1,,
no,"Immunosuppressants: Cyclosporine, tacrolimus, sirolimus\",1,,
no,"Increased Risk of Myopathy/Rhabdomyolysis (2, 5.1, 7, 12.3)",2,,
no,Indinavir* \,1,,
no,Indinavir*  \,1,,
,Interacting Agents ,20,,
,Interacting Drug,35,,
,Interacting DrugInteracting Drug,6,,
,Interaction Drug,1,,
no,Itraconazole\,1,,
no,Ketamine,32,,
no,Ketoconazole*\,1,,
